Age,Photos,# of Tags,Albums,Gender ,Emp,Profile,Cover,Orientation,Relationship,Posts,Replies,Children,Likes,Edu,Events,Friends
23,6389,10460,159,0,1,1,1,1,0,38,129,0,26,0,23,1325
21,549,170,14,1,1,1,1,1,1,3,17,0,9,0,8,731
20,757,588,17,0,1,1,1,1,1,21,11,0,102,0,10,1407
21,1050,829,38,1,0,1,1,1,1,11,14,0,122,0,2,783
20,242,809,33,0,0,1,1,1,0,23,42,0,218,0,6,1277
18,1905,697,46,0,0,1,0,1,0,33,28,0,255,1,2,1519
21,733,168,19,1,1,1,1,1,1,9,14,0,40,0,1,643
21,1382,533,33,0,1,1,0,1,1,13,22,0,172,0,58,303
21,339,446,15,1,0,1,0,1,0,27,44,0,149,0,1,1362
22,30,87,18,1,0,1,0,1,0,4,12,0,255,0,18,427
20,179,209,19,1,0,1,1,1,0,8,19,0,126,0,3,467
19,78,98,8,1,1,1,0,1,0,19,32,0,44,1,1,297
18,99,149,8,0,1,1,0,1,0,4,18,0,0,1,1,619
20,126,124,11,1,0,1,1,1,0,19,22,0,80,0,16,592
21,181,370,11,1,0,1,0,1,0,2,6,0,50,0,1,627
19,99,50,9,0,1,1,0,1,0,6,19,0,1658,1,5,1026
21,2845,1970,67,0,1,1,1,1,1,28,36,0,137,1,6,1388
19,279,426,17,1,1,1,0,1,1,20,19,0,19,0,3,1192
20,47,279,15,1,1,1,0,1,1,4,9,0,172,0,1,518
22,2338,995,44,1,1,1,0,1,1,17,12,0,224,0,53,645
22,62,713,4,1,1,1,0,1,1,25,3,0,23,1,5,744
18,680,245,11,0,1,1,0,1,0,36,12,0,221,1,0,1328
22,56,289,7,1,1,1,0,1,0,8,4,0,322,0,396,249
51,5,207,6,1,1,1,0,1,1,38,1,3,99,0,105,2214
37,68,54,11,0,1,1,0,1,1,4,2,2,46,1,11,159
22,5499,1922,98,0,1,1,0,1,1,8,3,0,4,0,232,1399
22,1254,101,5,1,1,1,0,1,1,25,15,0,25,1,25,856
25,505,52,9,0,0,1,0,1,1,5,4,0,45,0,45,492
26,254,42,7,1,0,1,1,1,0,10,8,1,151,0,78,105
18,1058,438,12,0,1,0,0,1,0,6,4,0,105,1,102,458
26,185,107,8,1,1,1,0,1,1,7,3,3,50,0,56,205
48,25,202,15,0,0,1,0,1,0,9,4,5,24,0,35,45
50,30,50,8,1,1,1,0,1,1,7,4,3,31,0,29,155
19,159,229,11,0,1,1,1,1,1,12,5,0,75,1,16,581
